model,dataset,accuracy,precision,recall,f1,roc_auc
Random Forest,Validation,0.9032102364142265,0.6900678101316314,0.49291260061257924,0.5750612872397889,0.9294205881715201
Random Forest,Test,0.9040155967557234,0.6960853376270504,0.49269891017878764,0.5769936603269936,0.9295862783817967
Gradient Boosting,Validation,0.9029830970452953,0.6970453599667082,0.4772419688011967,0.56657223796034,0.9299647007882982
Gradient Boosting,Test,0.9040913091621475,0.7055912393387386,0.4773131989457939,0.569425560842964,0.9298279799626674
Linear Regression (thresholded),Validation,0.8992636898790483,0.7285579641847314,0.3854263124154142,0.5041460914935246,0.9102583875808107
Linear Regression (thresholded),Test,0.901223701768831,0.745100707675558,0.3899850416696346,0.5119932669378595,0.9095430918181567
Linear Regression (thresholded),Validation,0.8992636898790483,0.7285579641847314,0.3854263124154142,0.5041460914935246,0.9102583875808107
Linear Regression (thresholded),Test,0.901223701768831,0.745100707675558,0.3899850416696346,0.5119932669378595,0.9095430918181567
